Name,Position Group,Position,Body Weight,Date,Day,Day Name,Week,Squat,Box Squat,Bench,Chin Ups,Opposition,Venue,Opposition Seed,Match Minutes,Result,Total Distance,Total Duration,Distance Zone 2-8 (m),HMLD,High Speed Running,VHSR,Max Speed,Accel Load,Accel Efforts,Accel Distance,Decel Efforts,Decel Distance,Relative Cumulative Mechanical Load (N),Scaled CML (N),Average Force per Effort (N),N/m,Nordic Right Hamstring (N),Nordic Left Hamstring (N),Nordic LvR % Imb,R Hip ABD (N),L Hip ABD (N),ABD LvR % Imb,R Hip ADD (N),L Hip ADD (N),ADD LvR % Imb,R Ankle PF (N),L Ankle PF (N),PF LvR % Imb,R Knee Ext (N),L Knee Ext (N),Knee LvR % Imb,R Neck Flex (N),L Neck Flex (N),Neck LvR % Imb
Apii Nicholls,Back,Fullback,,15/07/2025,D2,Tuesday,R3,,163,,,,,,,,15:10:05,1:02:00,1041.07,257.26,116.21,0,6.25045,791.5993,28,124.64,20,19.72,9108,910.8,189.75,3.676090719,,,,,,,399,408.25,1.10%,,,,,,,,,
Apii Nicholls,Back,Fullback,,17/07/2025,D4,Thursday,R3,,,,,,,,,,15:43:12,2:00:00,2118.89,593.75,342.21,41.33,7.43363,1848.822,42,145.63,41,52.6,15283.5,1528.35,184.1386,2.701861789,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,19/07/2025,D5,Saturday,R3,,,,,,,,,,14:09:36,1:05:00,1388.55,393.02,198.72,3.18,7.09607,1072.179,31,113.96,23,33.91,9867,986.7,182.7222,2.907540392,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,23/07/2025,D3,Wednesday,R4,,,,,,,,,,9:53:17,1:58:58,2760.46,698.13,362.97,0,6.79744,2065.188,68,272.68,46,49.88,21976.5,2197.65,192.7763,3.495873322,,,,,,,372,374.00,0.30%,,,,,,,,,
Apii Nicholls,Back,Fullback,,25/07/2025,D5,Friday,R4,,,,,,,,,,9:10:05,1:15:00,1358.45,440.14,236.7,0,6.43287,1239.961,39,175.43,30,36.87,12592.5,1259.25,182.5,3.519048553,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,31/07/2025,D4,Thursday,R5,,,,,,,,,,19:52:19,2:07:29,1817.09,407.93,240.71,0,6.85582,2004.682,30,157.41,32,36.69,11902.5,1190.25,191.9758,2.022573982,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,6/08/2025,D4,Wednesday,R6,,159,,,,,,,,0:20:10,2:18:01,2677.74,835.06,507.88,10.93,7.17456,2281.08,70,317.43,66,83.05,25461,2546.1,187.2132,3.940712712,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,13/08/2025,D4,Wednesday,R7,,159,,,,,,,,17:49:55,2:04:03,2174.52,440.51,293.45,15.52,7.1182,1485.765,30,137.96,33,35.04,11764.5,1176.45,186.7381,2.511773169,,,,,,,392.25,407.50,1.90%,,,,,,,,,
Apii Nicholls,Back,Fullback,,15/08/2025,CR,Friday,R7,,,,,,,,,,8:26:53,3:48:52,1825.74,354.38,208.56,0,6.5537,1885.115,24,113.36,8,18.4,6072,607.2,189.75,1.004408015,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,69,18/08/2025,D1,Monday,R8,,,,,,,,,,2:38:24,1:41:34,1655.47,356.37,71.625,0,6.41216,1144.082,52,219.12,28,38.38,15076.5,1507.65,94.22813,4.655956715,,,,,,,,,,,,,,,,,,
