Name,"Position Name",Date,"Day Name","Total Duration","Total Distance (m)","Distance Zone 2-8 (m)","HMLD (Gen 2)","High Speed Running","V High Speed Running","Maximum Velocity (m/s)","Acceleration B1-3 Total Efforts (Gen 2)","Acceleration B1-3 Distance (Gen 2) (m)","Deceleration B1-3 Total Efforts (Gen 2)","Deceleration B1-3 Distance (Gen 2) (m)",N/m
"Laishon Albert-Jones - 27/08/2025","Second Row",27/08/2025,Wednesday,02:14:00,5017.90088,1657.10002,350.94,250.19001,0,6.26123,36,152.52,17,25.11,2.86823
"Laishon Albert-Jones - 04/09/2025","Second Row",04/09/2025,Thursday,01:45:00,4562.00928,1491.5,362.70001,227.23001,0,6.06975,29,129.3,15,14.53,2.5571
"Laishon Albert-Jones - 06/09/2025","Second Row",06/09/2025,Saturday,01:28:41,4304.48242,2048.33999,205.88,50.67,0,5.4768,29,113.35,17,22.53,2.8274
"Laishon Albert-Jones - 11/09/2025","Second Row",11/09/2025,Thursday,01:56:11,5151.17773,1465.84003,366.29999,134.37,0,5.90367,49,177.76001,31,32.98,3.98025
"Laishon Albert-Jones - 14/09/2025","Second Row",14/09/2025,Sunday,01:21:57,5041.24536,2192.39998,261.01,53.22,0,6.08701,29,130.57,31,38.64,3.16549
"Lavinia Tauhalaliku - 20/05/2025",Wing,20/05/2025,Tuesday,01:29:06,2766.89099,1599.40002,501.2,691.22001,40.67,7.34523,12,79.95,0,0,0.99462
"Lavinia Tauhalaliku - 22/05/2025",Wing,22/05/2025,Thursday,01:43:10,3972.58203,1921.76001,570.02002,477.68,12.82,7.29729,42,190.53999,9,10.37,2.86841
"Lavinia Tauhalaliku - 24/05/2025",Wing,24/05/2025,Saturday,01:31:39,2617.68018,1347.22001,291.91,334.83,0,6.5472,24,93.99,7,8.93,2.61185
"Lavinia Tauhalaliku - 26/05/2025",Wing,26/05/2025,Monday,01:27:26,5479.91943,3340.65001,440.28999,136.73,0,6.80773,53,242.18,12,15.83,2.66008
"Lavinia Tauhalaliku - 27/05/2025",Wing,27/05/2025,Tuesday,01:31:56,4132.69434,1663.68003,623.20001,708.78002,0,6.9378,23,98.59,6,6.72,1.57113
"Lavinia Tauhalaliku - 31/05/2025",Wing,31/05/2025,Saturday,01:32:11,2552.96112,777.65999,120.92,50.72,8.39,7.22252,18,90.59,14,16.1,2.86334
"Lavinia Tauhalaliku - 02/06/2025",Wing,02/06/2025,Monday,01:53:56,5906.03961,2873.29001,696.26001,827.56001,0,6.47318,39,199.8,5,18.18,1.71824
"Lavinia Tauhalaliku - 03/06/2025",Wing,03/06/2025,Tuesday,02:07:36,3327.24353,758.98001,43.25,0,0,4.27931,7,34.48,9,15.43,1.03389
"Lavinia Tauhalaliku - 05/06/2025",Wing,05/06/2025,Thursday,02:33:32,7074.06799,3288.22001,629.69,448.05,25.03,7.61328,49,179.92,18,28.76,2.23082
"Lavinia Tauhalaliku - 07/06/2025",Wing,07/06/2025,Saturday,01:40:03,6577.55879,4362.13001,291.46,57.28,0,5.51794,48,228.49,34,46.52,2.9026
"Lavinia Tauhalaliku - 09/06/2025",Wing,09/06/2025,Monday,01:34:25,6803.03369,3735.43003,633.89,318.72,11.64,7.09185,52,201.03,42,45.07,3.2046
"Lavinia Tauhalaliku - 10/06/2025",Wing,10/06/2025,Tuesday,01:27:07,5849.51807,3058.34002,529.12,391.97999,2.55,7.05824,40,182.78,17,17.6,2.21266
"Lavinia Tauhalaliku - 12/06/2025",Wing,12/06/2025,Thursday,03:13:56,10541.80972,4609.10002,1147.76002,860.93001,73.78,7.55965,82,446.94001,60,66.77,3.22241
"Lavinia Tauhalaliku - 14/06/2025",Wing,14/06/2025,Saturday,01:39:05,4257.30389,1962.93,312.63,159.02,0,6.45578,30,142.38,18,19.35,2.54527
"Lavinia Tauhalaliku - 16/06/2025",Wing,16/06/2025,Monday,01:48:06,4758.59668,1597.38999,375.48999,169.89,49.45,7.49747,48,210.65001,35,54.73,4.03922
"Lavinia Tauhalaliku - 17/06/2025",Wing,17/06/2025,Tuesday,01:31:54,5054.27887,1941.47,465.13,286.84,18.03,7.4666,43,170.42,36,48.93,3.87098
"Lavinia Tauhalaliku - 19/06/2025",Wing,19/06/2025,Thursday,01:47:32,6126.59814,2769.38002,847.60999,503.46001,77.43,7.88729,78,393.25,60,72.63,5.79033
"Lavinia Tauhalaliku - 21/06/2025",Wing,21/06/2025,Saturday,01:55:00,4597.22119,1800.23003,395.14999,187.29,17.61,7.48863,36,182.3,39,47.52,4.05941
"Lavinia Tauhalaliku - 24/06/2025",Wing,24/06/2025,Tuesday,01:51:54,6978.11267,3347.17998,747.27,453.13999,34.29,7.44036,76,413.98,47,75.36,4.20257
"Lavinia Tauhalaliku - 26/06/2025",Wing,26/06/2025,Thursday,01:22:20,3256.40515,1449.9,436.77,287.06,16.94,7.12674,34,153.89,14,18.86,3.53887
"Lavinia Tauhalaliku - 15/07/2025",Wing,15/07/2025,Tuesday,01:20:55,4587.99707,2014.94998,489.41,191.04,0,6.37185,72,271.69001,52,46.3,6.21382
"Lavinia Tauhalaliku - 16/07/2025",Wing,16/07/2025,Wednesday,05:14:28,0,0,0,0,0,0,0,0,0,0,n/a
"Lavinia Tauhalaliku - 17/07/2025",Wing,17/07/2025,Thursday,02:00:00,5835.99414,2523.87004,685.41998,527.21,50.61,8.10679,52,223.66001,33,46.11,3.26405
"Lavinia Tauhalaliku - 19/07/2025",Wing,19/07/2025,Saturday,00:46:35,2865.25439,1501.79,317.76001,203,0,6.51623,41,144.11001,24,33.22,4.96745
"Lavinia Tauhalaliku - 22/07/2025",Wing,22/07/2025,Tuesday,01:17:00,2120.01099,570.69001,128.84,0,0,4.79774,24,78.44,24,42.54,5.11129
"Lavinia Tauhalaliku - 25/07/2025",Wing,25/07/2025,Friday,00:48:47,2854.04175,1660.43998,442.82001,507.57999,0,6.88274,40,165.82,24,31.59,5.12256
"Lavinia Tauhalaliku - 26/07/2025",Wing,26/07/2025,Saturday,00:52:00,3764.51221,2038.54999,654.52002,822.68,11.18,7.06779,38,170,15,26.3,3.09549
"Lavinia Tauhalaliku - 29/07/2025",Wing,29/07/2025,Tuesday,01:10:00,3790.99414,1566.10001,325.94,213.57,19.31,8.05287,25,111.99,18,31.46,2.62016
"Lavinia Tauhalaliku - 31/07/2025",Wing,31/07/2025,Thursday,02:07:29,4832.11426,1550.12001,351.73999,238.88,23.8,7.40518,27,133.18,22,24.75,2.39378
"Lavinia Tauhalaliku - 05/08/2025",Wing,05/08/2025,Tuesday,01:05:01,3364.45605,1503.97,463.73001,348.26,16.53,7.42393,42,174.94,24,34.84,4.79275
"Lavinia Tauhalaliku - 06/08/2025",Wing,06/08/2025,Wednesday,02:18:01,6420.62939,2718.27003,792.10999,524.49,30.06,7.47413,56,247.32001,50,75.1,3.84417
"Lavinia Tauhalaliku - 11/08/2025",Wing,11/08/2025,Monday,01:17:27,3796.27222,1401.28001,427.91,163.69,0,6.92573,57,274.02999,42,68.74,6.42235
"Lavinia Tauhalaliku - 13/08/2025",Wing,13/08/2025,Wednesday,02:04:03,6002.05029,2537.93004,755.15997,550.05,86.11,7.41231,55,248.59,52,71.74,4.34868
"Lavinia Tauhalaliku - 15/08/2025",Wing,15/08/2025,Friday,03:48:52,10797.46631,3881.51999,987.34003,598.23999,12.52,7.15472,92,422.56001,48,60.06,3.05053
"Lavinia Tauhalaliku - 16/08/2025",Wing,16/08/2025,Saturday,01:31:25,5410.81665,2543.97,411.46001,126.56,8.67,7.405,38,136.98,49,59.3,3.77485
"Lavinia Tauhalaliku - 27/08/2025",Wing,27/08/2025,Wednesday,02:14:00,4918.30957,1358.01,359.44,373.56,0,6.77805,24,128.01,11,17.76,1.73108
"Lavinia Tauhalaliku - 29/08/2025",Wing,29/08/2025,Friday,02:42:09,3095.93726,1184.12003,193.07001,326.53001,0,6.46541,16,59.04,3,4.64,1.43058
"Lavinia Tauhalaliku - 04/09/2025",Wing,04/09/2025,Thursday,01:45:00,5674.17969,2217.31,695.46997,463.66999,16,7.12543,55,225.38001,42,60.54,4.05433
"Lavinia Tauhalaliku - 06/09/2025",Wing,06/09/2025,Saturday,01:28:41,4780.61523,1750.73002,501.42001,255.68,0,6.66636,49,219.99,47,54,4.51532
"Lavinia Tauhalaliku - 07/09/2025",Wing,07/09/2025,Sunday,01:31:50,5776.1106,2483.07001,488.37999,228.83,0,6.94268,38,154.44,51,56.14,3.90089
"Lavinia Tauhalaliku - 11/09/2025",Wing,11/09/2025,Thursday,01:56:11,6344.3125,2222.27003,745.32001,499.60999,39.18,7.27277,60,282.6,47,65.78,3.9853
"Lavinia Tauhalaliku - 14/09/2025",Wing,14/09/2025,Sunday,01:21:57,6155.81323,2485.16001,432.98,263.81,5.12,7.0756,30,115.86,32,37.31,2.64742
"Lavinia Kitai - 07/05/2025",Prop,07/05/2025,Wednesday,01:27:35,4190.52795,1884.62997,466.65,94.76,0,6.99507,79,337.24,49,62.92,7.05878
"Lavinia Kitai - 13/05/2025",Prop,13/05/2025,Tuesday,01:04:12,2781.62701,1005.93001,346.49001,29.27,0,5.71112,66,331.71,44,45.68,9.10618
"Lavinia Kitai - 15/05/2025",Prop,15/05/2025,Thursday,01:46:30,4355.63608,1703.08001,398.28,92.71,0,6.09743,53,269,32,47.03,4.42014
"Lavinia Kitai - 17/05/2025",Prop,17/05/2025,Saturday,01:36:26,4195.6416,1457.48998,302.53,0,0,4.99697,60,257.27001,56,60.38,6.15877
"Lavinia Kitai - 19/05/2025",Prop,19/05/2025,Monday,01:28:56,5019.93628,2410.58,524.10999,157.2,0,6.85619,71,319.01999,38,48.67,5.12208
"Lavinia Kitai - 20/05/2025",Prop,20/05/2025,Tuesday,01:29:06,4020.15503,1767.74003,403.41001,56.16,0,6.12385,73,311.51,36,42.93,5.99417
"Lavinia Kitai - 22/05/2025",Prop,22/05/2025,Thursday,01:43:10,5140.62695,2656.58003,772.51001,203.72999,0,6.66485,108,418.64999,71,86.99,8.03598
"Lavinia Kitai - 24/05/2025",Prop,24/05/2025,Saturday,01:31:39,4928.43604,2182.22001,348.03,0,0,4.92347,74,307.34,51,58.62,5.54486
"Lavinia Kitai - 26/05/2025",Prop,26/05/2025,Monday,01:27:26,6119.89502,3682.02001,539.05001,92.51,0,5.74442,90,331.52001,45,40.18,4.9862
"Lavinia Kitai - 27/05/2025",Prop,27/05/2025,Tuesday,01:31:56,3556.1582,971.29004,179.55,39.66,0,5.63129,30,142.24,19,29,3.02363
"Lavinia Kitai - 31/05/2025",Prop,31/05/2025,Saturday,01:16:25,4171.69102,1937.91998,405.67,35,0,6.06407,87,390.58001,64,82.53,8.0483
"Lavinia Kitai - 02/06/2025",Prop,02/06/2025,Monday,01:53:56,31256919.02518,119426.69127,421.64,96.95,0,4350370.5,64,207.27,44,40.42,0.00095
"Lavinia Kitai - 03/06/2025",Prop,03/06/2025,Tuesday,02:07:36,4248.5134,1470.05002,314.64001,51.17,0,5.97625,36,242.05001,39,48.22,3.9914
"Lavinia Kitai - 05/06/2025",Prop,05/06/2025,Thursday,02:33:32,7040.68732,3253.04991,900.8,398.08001,0,6.86181,95,384.39001,51,55.02,4.67817
"Lavinia Kitai - 07/06/2025",Prop,07/06/2025,Saturday,01:40:02,6152.24002,3457.63001,291.99,17.45,0,5.48591,50,219.82,38,49.07,3.23988
"Lavinia Kitai - 09/06/2025",Prop,09/06/2025,Monday,01:34:25,6475.73477,3565.45996,530.89,161.64,0,6.50065,64,235.63,54,54.68,4.08873
"Lavinia Kitai - 10/06/2025",Prop,10/06/2025,Tuesday,01:27:07,4638.67999,2150.02999,340.70001,125.84,0,6.18822,44,226.27,21,22.27,3.42662
"Lavinia Kitai - 12/06/2025",Prop,12/06/2025,Thursday,03:19:50,8529.37973,3177.17003,934.09999,412.58,0,6.65941,123,506.68001,69,76.26,5.30168
"Lavinia Kitai - 14/06/2025",Prop,14/06/2025,Saturday,01:39:05,3880.63675,1772.81001,215.61,78.93,0,5.85524,29,138.63,22,26.38,2.96794
"Lavinia Kitai - 17/06/2025",Prop,17/06/2025,Tuesday,01:31:54,4368.08917,2029.72997,335.83001,94.29,0,6.19384,46,189.66,34,40.79,4.21294
"Lavinia Kitai - 19/06/2025",Prop,19/06/2025,Thursday,01:47:32,5531.23474,2537.64002,730.41,272.7,0,6.73627,96,400.60001,63,65.84,6.53878
"Lavinia Kitai - 21/06/2025",Prop,21/06/2025,Saturday,01:55:00,4999.06348,2141.83008,392.78,96.65,0,5.89771,63,296.58,42,44.11,4.71838
"Lavinia Kitai - 24/06/2025",Prop,24/06/2025,Tuesday,01:51:54,5720.69043,2867.99003,554.19002,135.14,0,6.31774,96,413.41,50,70.35,5.81704
"Lavinia Kitai - 26/06/2025",Prop,26/06/2025,Thursday,01:22:20,4092.64148,1655.38999,508.1,258.02,0,6.87958,57,264.01,34,47.45,5.46224
"Lavinia Kitai - 30/06/2025",Prop,30/06/2025,Monday,02:13:18,3562.48511,1126.61001,245.46001,92.77,0,6.24164,37,168.28,22,29.45,3.71019
"Lavinia Kitai - 01/07/2025",Prop,01/07/2025,Tuesday,01:44:00,4765.98926,1987.73,388.67001,87.85,0,6.34569,64,240.96,60,60.35,5.89437
"Lavinia Kitai - 03/07/2025",Prop,03/07/2025,Thursday,01:32:00,4405.73193,1979.79008,317.87,227.35001,0,6.56513,30,116.49,21,21.76,2.65279
"Lavinia Kitai - 05/07/2025",Prop,05/07/2025,Saturday,01:14:04,3161.62476,975.54001,163.92999,27.83,0,5.2924,27,109.83,18,16.24,3.13209
"Lavinia Kitai - 06/07/2025",Prop,06/07/2025,Sunday,01:30:06,2945.44159,1422.51998,166.35999,53.18,0,5.90891,20,58.7,22,30.04,3.34755
"Lavinia Kitai - 08/07/2025",Prop,08/07/2025,Tuesday,00:35:00,1366.28308,380.65,76.58,0.94,0,5.01007,11,32.98,5,5.4,2.55072
"Lavinia Kitai - 10/07/2025",Prop,10/07/2025,Thursday,02:05:42,6313.23944,2786.22001,539.38001,249.06,0,6.61384,72,291.64,36,43.33,3.83717
"Lavinia Kitai - 12/07/2025",Prop,12/07/2025,Saturday,01:25:00,3234.25122,1035.44997,267.94,97.71,0,5.78064,44,178.02001,21,19.38,4.45466
"Lavinia Kitai - 13/07/2025",Prop,13/07/2025,Sunday,01:16:49,3892.96985,2094.23001,204.90001,31.76,0,5.49053,22,112.94,33,31.63,3.11138
"Lavinia Kitai - 15/07/2025",Prop,15/07/2025,Tuesday,01:20:55,4636.14636,2330.54995,528.60001,182.16,0,6.97901,63,240.63,42,45.24,5.30775
"Lavinia Kitai - 17/07/2025",Prop,17/07/2025,Thursday,02:00:00,4821.90381,1828.94999,421.45999,196.99,0,6.81823,49,222.73,38,37.96,4.17781
"Lavinia Kitai - 19/07/2025",Prop,19/07/2025,Saturday,01:05:00,2859.24683,1169.33999,267.06,54.15,0,5.56125,50,189.61,25,20.48,5.82671
"Lavinia Kitai - 20/07/2025",Prop,20/07/2025,Sunday,01:37:14,5684.69025,2972.02005,334.75001,126.52,0,6.16686,34,150.62,26,37.48,2.49706
"Lavinia Kitai - 23/07/2025",Prop,23/07/2025,Wednesday,01:58:58,4857.38916,1950.46001,505.60999,261.95,0,6.69628,58,248.21,43,45.11,4.75976
"Lavinia Kitai - 25/07/2025",Prop,25/07/2025,Friday,01:15:00,2904.59204,989.58002,206.78,36.22,0,5.55643,33,141.27,22,24.09,4.11159
"Lavinia Kitai - 26/07/2025",Prop,26/07/2025,Saturday,01:28:38,5272.56802,2630.54003,345.99999,115.9,0,5.73052,37,157.37,33,44.02,2.98242
"Lavinia Kitai - 29/07/2025",Prop,29/07/2025,Tuesday,01:10:00,3645.84131,1556.88002,145.45,29.35,0,5.67982,22,107.62,18,23.11,2.42468
"Lavinia Kitai - 31/07/2025",Prop,31/07/2025,Thursday,02:07:29,5367.62842,2088.85995,462.06,257.64999,0,6.80184,47,211.09,37,39.62,3.68971
"Lavinia Kitai - 03/08/2025",Prop,03/08/2025,Sunday,01:17:28,3941.58752,1892.42997,204.7,50.99,0,6.30737,26,110.2,23,32.11,2.72796
"Lavinia Kitai - 05/08/2025",Prop,05/08/2025,Tuesday,01:05:01,2912.76001,1470.87,350.51001,233.85,0,6.32632,39,166.23,30,26.67,5.70507
"Lavinia Kitai - 06/08/2025",Prop,06/08/2025,Wednesday,02:18:01,4812.71826,2076.29002,468.10001,168.86,0,6.51705,52,228.23,44,52.38,4.61849
"Lavinia Kitai - 09/08/2025",Prop,09/08/2025,Saturday,01:24:40,3117.16028,1419.84999,210.98999,54.93,0,5.8107,26,91.5,17,23.21,3.6267
"Lavinia Kitai - 13/08/2025",Prop,13/08/2025,Wednesday,02:04:03,4773.74707,1764.34999,388.41,211.07001,0,6.33667,46,201.57,40,45.66,4.09532
"Lavinia Kitai - 15/08/2025",Prop,15/08/2025,Friday,01:33:13,2917.55542,1003.69,248.31,61.13,0,5.92329,44,150.79,31,28.77,5.72483
"Lavinia Kitai - 16/08/2025",Prop,16/08/2025,Saturday,01:31:25,4598.49316,2489.74994,325.58,40.53,0,5.71722,33,130.68,32,43.29,3.34566
"Lavinia Kitai - 21/08/2025",Prop,21/08/2025,Thursday,01:55:47,4888.59717,2028.33999,618.69,304.86,0,6.60443,73,332.64,45,45.53,5.85955
"Lavinia Kitai - 23/08/2025",Prop,23/08/2025,Saturday,01:39:29,3611.16626,1381.78998,436.62,70.18,0,5.6944,73,282.68,44,43.91,7.69696
"Lavinia Kitai - 24/08/2025",Prop,24/08/2025,Sunday,01:24:24,3142.27087,1642.28003,236.97,80.93,0,5.56056,31,109.36,27,33.61,4.05758
"Lavinia Kitai - 27/08/2025",Prop,27/08/2025,Wednesday,02:14:00,5067.31641,1763.46,422.03,199.61001,0,6.51282,49,199.38,43,44.91,4.26902
"Lavinia Kitai - 29/08/2025",Prop,29/08/2025,Friday,02:42:09,3292.23511,1292.26999,256.51001,45.7,0,5.47241,43,158.41,23,31.33,4.53112
"Lavinia Kitai - 30/08/2025",Prop,30/08/2025,Saturday,01:25:44,3801.65417,2182.74999,303.16001,131.58,0,6.26152,35,123.4,23,29.03,3.52149
"Lavinia Kitai - 04/09/2025",Prop,04/09/2025,Thursday,01:45:00,4666.42236,1903.85,619.91998,349.89999,0,6.53995,68,263.90001,52,57.2,6.01103
"Lavinia Kitai - 06/09/2025",Prop,06/09/2025,Saturday,01:28:41,3952.77222,1432.93001,324.01001,78,0,5.92327,56,202.68,37,36.73,5.37597
"Lavinia Kitai - 07/09/2025",Prop,07/09/2025,Sunday,01:31:50,3647.63281,1735.11997,251.02,67.86,0,5.76714,32,95.51,31,40.56,4.07799
"Lavinia Kitai - 11/09/2025",Prop,11/09/2025,Thursday,01:56:11,4878.72754,1948.85,622.10999,285.92,0.42,7.01169,74,303.61,59,61.72,6.26342
"Lavinia Kitai - 14/09/2025",Prop,14/09/2025,Sunday,01:21:57,1733.79007,792.53999,110.81,41.69,0,6.00762,12,45.58,10,16.22,3.28471
"Lydia Turua-Quedley - 07/05/2025","Half Back",07/05/2025,Wednesday,01:27:35,4630.39047,2301.52003,622.76001,172.51,42.42,7.97461,110,398.91,73,91.06,7.30608
"Lydia Turua-Quedley - 13/05/2025","Half Back",13/05/2025,Tuesday,01:04:12,2920.78979,1178.37,323.49,37.23,12.85,7.49429,68,313.92,23,33.16,5.77378
"Lydia Turua-Quedley - 15/05/2025","Half Back",15/05/2025,Thursday,01:46:30,4288.79382,1757.83,476.81,244.2,39.1,7.59136,57,255.71,26,41.01,3.64671
"Lydia Turua-Quedley - 17/05/2025","Half Back",17/05/2025,Saturday,01:36:26,2660.36523,1092.19999,198.73,149.49,0,6.90027,31,115.86,14,23.88,3.05447
"Lydia Turua-Quedley - 27/05/2025","Half Back",27/05/2025,Tuesday,01:31:56,4289.05811,2710.78992,348.57999,687.25999,0,6.48771,5,18.66,0,0.05,0.19818
"Lydia Turua-Quedley - 29/05/2025","Half Back",29/05/2025,Thursday,01:54:21,5103.44464,2896.94995,351.53,392.63,0,5.6842,26,101.72,1,0.24,0.95269
"Lydia Turua-Quedley - 31/05/2025","Half Back",31/05/2025,Saturday,01:32:26,6380.01262,5092.51997,68.2,94.93,0,5.24961,12,48.17,0,1.11,0.31975
"Lydia Turua-Quedley - 02/06/2025","Half Back",02/06/2025,Monday,01:53:56,3981.94571,2369.58,450.45001,1021.16002,0,6.76671,28,158.61,3,7.96,1.59671
"Lydia Turua-Quedley - 03/06/2025","Half Back",03/06/2025,Tuesday,02:07:36,3745.92238,2097.20002,345.57001,244.89999,0,5.5708,59,205.21,39,74.29,4.53827
"Lydia Turua-Quedley - 05/06/2025","Half Back",05/06/2025,Thursday,02:33:32,6171.18753,3149.21001,775.28003,647.76001,58,7.61799,61,290.39999,22,32.7,2.55089
"Lydia Turua-Quedley - 07/06/2025","Half Back",07/06/2025,Saturday,01:40:03,6343.97928,3939.78,513.12,125.77,0,6.59043,86,399.98001,49,65.99,3.87486
"Lydia Turua-Quedley - 09/06/2025","Half Back",09/06/2025,Monday,01:34:25,5249.6356,2893.03004,801.34998,1040.44001,17.52,7.12403,76,358.87,24,37.99,3.67873
"Lydia Turua-Quedley - 10/06/2025","Half Back",10/06/2025,Tuesday,01:27:07,3899.34387,2034.20999,354.38999,154.73,0,6.17982,38,181.21,12,14.54,2.30193
"Lydia Turua-Quedley - 12/06/2025","Half Back",12/06/2025,Thursday,03:20:39,7265.27673,3093.02999,775.09999,658.37999,42.98,7.34985,68,297.77,30,30.61,2.51773
"Lydia Turua-Quedley - 14/06/2025","Half Back",14/06/2025,Saturday,01:19:58,2560.64612,1354.04999,311.68,163,0,6.58316,37,162.11,17,20.77,3.85059
"Lydia Turua-Quedley - 16/06/2025","Half Back",16/06/2025,Monday,01:48:06,4157.05811,1672.99998,281.54001,112.47,14.12,7.13033,38,185.36,24,33.73,2.60088
"Lydia Turua-Quedley - 17/06/2025","Half Back",17/06/2025,Tuesday,01:23:01,4086.24957,2156.49,684.66002,745.11999,0,6.99798,55,267.55,30,43.27,4.22686
"Lydia Turua-Quedley - 19/06/2025","Half Back",19/06/2025,Thursday,01:47:32,6203.3291,3118.44999,898.28,412.5,73.46,7.59622,109,447.36,68,56.86,5.32746
"Lydia Turua-Quedley - 21/06/2025","Half Back",21/06/2025,Saturday,01:55:00,4866.62598,2115.85006,395.97,169.24,0,6.54861,51,206.27999,36,49.16,3.29058
"Lydia Turua-Quedley - 24/06/2025","Half Back",24/06/2025,Tuesday,01:51:54,5889.67828,3073.78998,593.13001,268.48999,23.46,7.27309,82,365.97,45,60.65,3.95438
"Lydia Turua-Quedley - 30/06/2025","Half Back",30/06/2025,Monday,02:13:18,4923.5332,1834.27,313.32001,177.93,35.77,7.61912,40,187.09,22,28.09,2.25123
"Lydia Turua-Quedley - 01/07/2025","Half Back",01/07/2025,Tuesday,01:44:00,5456.96973,2609.03002,498.76999,178.07,0,6.84095,82,274.75,56,60.82,4.5857
"Lydia Turua-Quedley - 03/07/2025","Half Back",03/07/2025,Thursday,01:32:00,5842.58643,2939.95004,453.37,309.53001,20.27,7.14144,57,180.58,37,45.61,2.85148
"Lydia Turua-Quedley - 05/07/2025","Half Back",05/07/2025,Saturday,01:14:04,3580.19312,1482.47997,198.28,78.72,0,6.34504,33,115.77,14,15.18,2.3077
"Lydia Turua-Quedley - 06/07/2025","Half Back",06/07/2025,Sunday,01:30:06,3694.47021,1959.92,326.95,133.65,0,6.06202,38,129.1,30,30.62,3.4419
"Lydia Turua-Quedley - 08/07/2025","Half Back",08/07/2025,Tuesday,00:35:00,1711.68408,717.85999,39.91,8.47,0,5.214,3,16.17,1,2.09,0.39727
"Lydia Turua-Quedley - 10/07/2025","Half Back",10/07/2025,Thursday,02:05:42,7114.37189,3543.23003,736.98,527.82999,40.9,7.52906,72,252.23,39,40.37,2.82442
"Lydia Turua-Quedley - 12/07/2025","Half Back",12/07/2025,Saturday,01:25:00,4195.08936,1701.28003,282.10001,164.17,0,6.85718,28,111.4,18,14.77,2.04239
"Lydia Turua-Quedley - 13/07/2025","Half Back",13/07/2025,Sunday,01:16:49,3156.51074,1748.72001,237.35,67.61,0,6.00879,37,119.72,26,29.83,3.79153
"Lydia Turua-Quedley - 14/07/2025","Half Back",14/07/2025,Monday,00:43:38,2268.76221,1594.34994,324.95999,577.40997,0,5.81971,28,119.54,10,15.99,3.11712
"Lydia Turua-Quedley - 17/07/2025","Half Back",17/07/2025,Thursday,02:00:00,5682.19727,2296.40002,442.20001,158.69,23.42,7.46832,54,225.52,40,47.37,2.92
"Lydia Turua-Quedley - 19/07/2025","Half Back",19/07/2025,Saturday,01:05:00,2938.07813,1121.93003,154.78,57.17,0,5.67781,16,90.25,10,9.75,1.68954
"Lydia Turua-Quedley - 20/07/2025","Half Back",20/07/2025,Sunday,01:23:38,4717.21594,2441.56,329.81001,43.42,0,5.67658,46,137.22,36,36.4,3.05604
"Lydia Turua-Quedley - 23/07/2025","Half Back",23/07/2025,Wednesday,01:58:58,6099.88428,2581.46004,598.57001,256.83001,19.36,7.2787,72,319.70001,46,43.88,3.51154
"Lydia Turua-Quedley - 25/07/2025","Half Back",25/07/2025,Friday,01:15:00,3965.54126,1458.50001,383.42999,102.55,0,6.20531,46,184.27,32,39.83,3.62674
"Lydia Turua-Quedley - 26/07/2025","Half Back",26/07/2025,Saturday,01:19:41,6458.58813,3330.42002,471.31,127.61,0,6.03636,57,234.84,61,66.52,3.47971
"Lydia Turua-Quedley - 29/07/2025","Half Back",29/07/2025,Tuesday,01:10:00,3236.30835,1402.42,219.45,91.77,0,6.83899,35,145.61,16,23.87,2.74201
"Lydia Turua-Quedley - 31/07/2025","Half Back",31/07/2025,Thursday,02:07:29,5968.25293,2258.88995,460.60999,265.19,17.28,7.46288,44,180.23,33,33.1,2.27303
"Lydia Turua-Quedley - 03/08/2025","Half Back",03/08/2025,Sunday,01:17:28,4398.8689,2326.41998,263.08001,23.1,0,5.41024,45,145.8,36,49.12,3.23856
"Lydia Turua-Quedley - 05/08/2025","Half Back",05/08/2025,Tuesday,01:05:01,3044.94995,1377.88002,338.47,195.48,34.99,7.50435,41,165.99,28,31.17,4.38825
"Lydia Turua-Quedley - 06/08/2025","Half Back",06/08/2025,Wednesday,02:18:01,5605.21533,2173.08003,508.12,218.46,6.24,7.13351,58,228.65,44,50.16,3.46963
"Lydia Turua-Quedley - 09/08/2025","Half Back",09/08/2025,Saturday,01:24:40,3986.0741,2133.45999,248.85001,75.57,0,6.21211,32,118.16,24,29.86,2.56744
"Lydia Turua-Quedley - 13/08/2025","Half Back",13/08/2025,Wednesday,02:04:03,5608.70508,2156.21,500.14001,381.77,43.67,7.47024,45,195.86,31,45.05,2.7764
"Lydia Turua-Quedley - 15/08/2025","Half Back",15/08/2025,Friday,03:48:52,9312.17041,3542.55998,952.71002,328.46,0,6.95296,140,522.28,85,95.16,4.3266
"Lydia Turua-Quedley - 16/08/2025","Half Back",16/08/2025,Saturday,01:31:25,6566.08179,3425.75001,507.84,122.73,0,6.25463,66,247.04,57,74.86,3.43828
"Lydia Turua-Quedley - 19/08/2025","Half Back",19/08/2025,Tuesday,01:38:57,5013.43066,2434.81999,473.22,164.52,0,6.94827,76,336.99,37,61.76,4.03516
"Lydia Turua-Quedley - 21/08/2025","Half Back",21/08/2025,Thursday,01:55:47,5484.53857,2471.73999,587.54999,414.6,32.91,7.25058,40,208.42,21,27.7,2.31852
"Lydia Turua-Quedley - 23/08/2025","Half Back",23/08/2025,Saturday,01:39:29,5006.78418,1906.86,292.75,45.6,2.76,7.02824,53,134.06,26,21.54,2.76385
"Lydia Turua-Quedley - 24/08/2025","Half Back",24/08/2025,Sunday,01:24:24,5267.52295,2788.72,422.52,122.08,0,6.56087,52,184.62,57,57.88,3.8857
