Name,"Position Name",Date,"Day Name","Total Duration","Total Distance (m)","Distance Zone 2-8 (m)","HMLD (Gen 2)","High Speed Running","V High Speed Running","Maximum Velocity (m/s)","Acceleration B1-3 Total Efforts (Gen 2)","Acceleration B1-3 Distance (Gen 2) (m)","Deceleration B1-3 Total Efforts (Gen 2)","Deceleration B1-3 Distance (Gen 2) (m)",N/m
"Apii Nicholls - 13/08/2025","Full Back",13/08/2025,Wednesday,02:04:03,4683.74316,2174.51998,440.51001,293.45,15.52,7.1182,30,137.96,33,35.04,2.51177
"Apii Nicholls - 15/08/2025","Full Back",15/08/2025,Friday,03:48:52,6045.35229,1825.74002,354.38,208.56,0,6.5537,24,113.36,8,18.4,1.00441
"Apii Nicholls - 18/08/2025","Full Back",18/08/2025,Monday,01:41:34,3238.11011,1655.47002,356.37,71.625,0,6.41216,52,219.12,28,38.38,4.65596
"Apii Nicholls - 19/08/2025","Full Back",19/08/2025,Tuesday,01:38:57,6079.85205,3037.18997,702.84998,196.68,0,6.84517,124,486.68,60,88.92,5.49857
"Apii Nicholls - 21/08/2025","Full Back",21/08/2025,Thursday,01:55:47,6133.89697,2685.12996,790.27002,528.21001,41.41,7.52232,60,270.82,52,68.09,3.63904
"Apii Nicholls - 23/08/2025","Full Back",23/08/2025,Saturday,01:39:29,4071.12622,1431.92999,428.82999,179.72,0,6.38011,54,194.21,48,50.9,4.69477
"Apii Nicholls - 24/08/2025","Full Back",24/08/2025,Sunday,01:24:24,6644.3689,3141.25,739.69998,358.72,23.5,7.61942,61,218.1,68,84.15,4.09158
"Apii Nicholls - 27/08/2025","Full Back",27/08/2025,Wednesday,02:14:00,5772.00928,2137.96,497.12,270.71,4,7.0445,42,172.94,39,44.48,2.74948
"Apii Nicholls - 29/08/2025","Full Back",29/08/2025,Friday,02:42:09,3985.82715,1668.68001,506.5,254.24001,0,6.37005,52,207.79,43,50.94,4.49229
"Apii Nicholls - 30/08/2025","Full Back",30/08/2025,Saturday,01:19:33,6651.58398,3288.04997,892.35001,502.19,29.18,7.5226,65,239.51,68,80.56,4.12345
"Apii Nicholls - 04/09/2025","Full Back",04/09/2025,Thursday,01:45:00,5393.72314,2045.90995,692.69,480.93,10.55,7.04716,51,261.56,43,63.04,3.37086
"Apii Nicholls - 06/09/2025","Full Back",06/09/2025,Saturday,01:28:41,4859.87598,2089.47002,644.60999,296.28999,0,6.81639,63,276.52,52,67.77,4.52913
"Apii Nicholls - 07/09/2025","Full Back",07/09/2025,Sunday,01:31:50,7095.51782,3441.80994,925.16003,378.16999,11.11,7.40016,83,273.9,79,100.19,4.76984
"Apii Nicholls - 11/09/2025","Full Back",11/09/2025,Thursday,01:56:11,6030.35596,2529.79003,829.91998,474.83001,44.87,7.54569,74,302.04,54,74.35,3.98758
"Apii Nicholls - 14/09/2025","Full Back",14/09/2025,Sunday,01:21:57,6601.30786,3009.92994,683.59,265.88999,16.11,7.32467,57,217.89,52,63.83,3.36047
"Asha Taumoepeau-Williams - 27/08/2025",Centre,27/08/2025,Wednesday,02:14:00,5447.18311,2042.32,692.73999,426.27999,49.79,7.47477,51,233.45,47,55.79,4.14159
"Ashlee Matapo - 15/05/2025",Forward,15/05/2025,Thursday,01:46:30,4777.07428,1906.93995,538.78001,234.98,0,6.72318,61,291.66,47,52.44,5.54649
"Ashlee Matapo - 17/05/2025",Forward,17/05/2025,Saturday,01:36:26,4760.91113,1923.18002,335.23999,14.17,0,5.47731,68,277.25999,53,58.79,6.18369
"Ashlee Matapo - 19/05/2025",Forward,19/05/2025,Monday,01:28:56,5537.45789,2832.55992,553.26001,133.19,0,6.10954,73,330.79999,45,61.58,5.28329
"Ashlee Matapo - 20/05/2025",Forward,20/05/2025,Tuesday,01:29:06,4269.72412,1921.80997,355.41,52.05,0,6.10769,62,258.60001,43,41.29,5.74229
